Order ID,Buyer,Gig Title,Amount,Currency,Date,Type
FO5D7C0421C1,bernardsmall554,design an amazing  word art or put words in any shape,4.0,USD,2021-12-30,Order Revenue
FO41AD2D57FC8,absvarkey,do amazing and beautiful word art and word cloud art,4.0,USD,2021-12-30,Funds Cleared
FO61F2DE33D48,absvarkey,do amazing and beautiful word art and word cloud art,4.0,USD,2021-12-20,Funds Cleared
FO411EB398184,marlenecarson38,design an amazing  word art or put words in any shape,16.0,USD,2021-12-19,Order Revenue
FO4D5116B742,taylor432528,do amazing and beautiful word art and word cloud art,12.0,USD,2021-12-17,Funds Cleared
Not Available,tharealcheftony,Tip,7.8,USD,2021-12-15,Funds Cleared
FO1472FB6501,tharealcheftony,do perfect word art typography letteringlogo,52.0,USD,2021-12-15,Funds Cleared
Not Available,msmarketpro,Tip,4.0,USD,2021-12-15,Funds Cleared
FO211CAA01B86,msmarketpro,do amazing and beautiful word art and word cloud art,4.0,USD,2021-12-15,Funds Cleared
FO41AD2D57FC8,absvarkey,do amazing and beautiful word art and word cloud art,4.0,USD,2021-12-14,Order Revenue
FO71F0B06E8C7,juicebox215,do amazing and beautiful word art and word cloud art,56.0,USD,2021-12-08,Funds Cleared
FO61F2DE33D48,absvarkey,do amazing and beautiful word art and word cloud art,4.0,USD,2021-12-04,Order Revenue
FO4D48EBDCC2,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-12-02,Funds Cleared
Not Available,tharealcheftony,Tip,7.8,USD,2021-12-01,Order Revenue
Not Available,msmarketpro,Tip,4.0,USD,2021-12-01,Order Revenue
FO1472FB6501,tharealcheftony,do perfect word art typography letteringlogo,52.0,USD,2021-12-01,Order Revenue
FO211CAA01B86,msmarketpro,do amazing and beautiful word art and word cloud art,4.0,USD,2021-11-30,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-11-25,Funds Cleared
FO711A92DB581,fedagnt,build responsive wordpress website design ecommerce website or ecommerce store,8.0,USD,2021-11-25,Funds Cleared
FO4D5116B742,taylor432528,do amazing and beautiful word art and word cloud art,12.0,USD,2021-11-25,Order Revenue
FO61ED6356CC8,suzanne_wind,do amazing and beautiful word art and word cloud art,12.0,USD,2021-11-23,Funds Cleared
FO71F0B06E8C7,juicebox215,do amazing and beautiful word art and word cloud art,56.0,USD,2021-11-22,Order Revenue
Not Available,fedagnt,Tip,8.0,USD,2021-11-21,Funds Cleared
FO2160A847B88,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-11-21,Funds Cleared
FO81EDB3156C6,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-11-21,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-11-19,Funds Cleared
FO38CF6FC041,fedagnt,do amazing and beautiful word art and word cloud art,8.0,USD,2021-11-19,Funds Cleared
FO4D48EBDCC2,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-11-18,Order Revenue
FO5D2CE079C1,suzanne_wind,do amazing and beautiful word art and word cloud art,12.0,USD,2021-11-17,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-11-17,Funds Cleared
FO5D33C779C1,fedagnt,do perfect word art typography letteringlogo,8.0,USD,2021-11-17,Funds Cleared
Not Available,fedagnt,Tip,8.0,USD,2021-11-14,Funds Cleared
FO5D30560841,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-11-14,Funds Cleared
Not Available,nalicino,Tip,4.0,USD,2021-11-14,Funds Cleared
FO28C7867442,nalicino,do amazing and beautiful word art and word cloud art,4.0,USD,2021-11-14,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-11-11,Order Revenue
FO711A92DB581,fedagnt,build responsive wordpress website design ecommerce website or ecommerce store,8.0,USD,2021-11-11,Order Revenue
Not Available,fedagnt,Tip,8.0,USD,2021-11-07,Order Revenue
FO2160A847B88,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-11-07,Order Revenue
FO81EDB3156C6,fedagnt,design an amazing  word art or put words in any shape,4.0,USD,2021-11-07,Order Revenue
FO61ED6356CC8,suzanne_wind,do amazing and beautiful word art and word cloud art,12.0,USD,2021-11-05,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-11-05,Order Revenue
FO38CF6FC041,fedagnt,do amazing and beautiful word art and word cloud art,8.0,USD,2021-11-05,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-11-04,Funds Cleared
FO28C28CDF42,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-11-04,Funds Cleared
FO18C032C343,dabtwilliams,design an amazing  word art or put words in any shape,4.0,USD,2021-11-04,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-11-03,Order Revenue
FO5D33C779C1,fedagnt,do perfect word art typography letteringlogo,8.0,USD,2021-11-03,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-10-31,Funds Cleared
FO38BE923D41,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-10-31,Funds Cleared
Not Available,fedagnt,Tip,8.0,USD,2021-10-31,Order Revenue
FO5D30560841,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-10-31,Order Revenue
Not Available,nalicino,Tip,4.0,USD,2021-10-31,Order Revenue
FO51A2C9DE8C7,summerslee,design an amazing  word art or put words in any shape,4.0,USD,2021-10-29,Funds Cleared
FO5D2CE079C1,suzanne_wind,do amazing and beautiful word art and word cloud art,12.0,USD,2021-10-28,Order Revenue
FO28C7867442,nalicino,do amazing and beautiful word art and word cloud art,4.0,USD,2021-10-27,Order Revenue
FO21149046786,rhsupreme,do perfect word art typography letteringlogo,32.0,USD,2021-10-27,Funds Cleared
Not Available,fedagnt,Tip,4.0,USD,2021-10-21,Order Revenue
FO28C28CDF42,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-10-21,Order Revenue
FO18C032C343,dabtwilliams,design an amazing  word art or put words in any shape,4.0,USD,2021-10-19,Order Revenue
Not Available,fedagnt,Tip,4.0,USD,2021-10-17,Order Revenue
FO38BE923D41,fedagnt,design an amazing  word art or put words in any shape,8.0,USD,2021-10-17,Order Revenue
FO7117BA00981,tayabanoreen786,code c cpp python java and c sharp projects,-5.0,USD,2021-10-16,Gig Purchased from Revenues
FO51A2C9DE8C7,summerslee,design an amazing  word art or put words in any shape,4.0,USD,2021-10-12,Order Revenue
FO215987C4E08,jooacri,do perfect word art typography letteringlogo,16.0,USD,2021-10-02,Funds Cleared
Not Available,tayabanoreen786,Not Available,552.72,USD,2021-10-02,Withdrawal Completed Successfully
Not Available,tayabanoreen786,Not Available,-552.72,USD,2021-10-02,Withdrawal Initiated
